Country;Region;HPI Rank;Average Life Expectancy;Footprint (gha/capita);Inequality of Outcomes;Inequality of Outcomes;Inequality-adjusted Life Expectancy;Population
Norway;Europe;12;81,281;4,98;0,068553755;0,068553755;78,60023;5018573
Oman;Middle East and North Africa;106;76,3;7,52;0,134064744;0,134064744;70,94494224;3545192
Pakistan;Asia Pacific;36;65,704;0,79;0,396460254;0,396460254;44,12995411;177392252
Palestine;Middle East and North Africa;22;72,552;1,189658103;0,237578859;0,237578859;62,58536536;4046901
Panama;Americas;6;77,215;2,79;0,189978978;0,189978978;68,32564728;3743761
Paraguay;Americas;91;72,638;4,16;0,223908185;0,223908185;59,35754012;6379162
Peru;Americas;21;74,089;2,28;0,212018695;0,212018695;63,54400661;30158768
Philippines;Asia Pacific;20;67,949;1,1;0,263115517;0,263115517;56,92403533;96017322
Poland;Post-communist;62;76,926;4,44;0,111454728;0,111454728;72,94294301;38063164
Portugal;Europe;79;80,33;3,88;0,163386226;0,163386226;77,19162016;10514844
Republic of Congo;Sub Saharan Africa;115;60,951;1,29;0,400589723;0,400589723;41,9877439;4286188
Romania;Post-communist;55;74,327;2,71;0,194374933;0,194374933;68,09417923;20058035
Russia;Post-communist;116;69,519;5,69;0,15916384;0,15916384;63,37341186;143201676
Rwanda;Sub Saharan Africa;111;63,056;0,87;0,372088674;0,372088674;44,27551153;10817350
Senegal;Sub Saharan Africa;101;65,429;1,21;0,328184957;0,328184957;49,0590337;13780108
Serbia;Post-communist;52;74,495;2,7;0,190906214;0,190906214;68,6039278;7199077
Sierra Leone;Sub Saharan Africa;133;49,758;1,24;0,498696145;0,498696145;28,18260052;6043157
Slovakia;Post-communist;59;75,872;4,06;0,128154772;0,128154772;71,87107927;5407579
Slovenia;Post-communist;82;79,953;5,81;0,102227574;0,102227574;77,070221;2057159
South Africa;Sub Saharan Africa;128;56,285;3,31;0,332740029;0,332740029;41,79492336;52341695
South Korea;Asia Pacific;80;81,349;5,69;0,110594185;0,110594185;78,34418882;50004441
Spain;Europe;15;82,192;3,67;0,101492729;0,101492729;79,33696998;46773055
Sri Lanka;Asia Pacific;28;74,601;1,32;0,169405552;0,169405552;68,58829729;20424000
Suriname;Americas;75;70,788;4,25;0,189257739;0,189257739;61,18477562;528535
Swaziland;Sub Saharan Africa;132;48,91;2,01;0,410458121;0,410458121;31,81028269;1231694
Sweden;Europe;61;81,847;7,25;0,056707346;0,056707346;79,11979304;9519374
Switzerland;Europe;24;82,6;5,79;0,059863953;0,059863953;79,43848916;7996861
Syria;Middle East and North Africa;113;70,385;1,51;0,303824505;0,303824505;60,18527137;21427155
Tajikistan;Post-communist;25;69,01;0,91;0,258963455;0,258963455;52,97565773;7930929
Tanzania;Sub Saharan Africa;97;63,544;1,32;0,332874686;0,332874686;47,67143504;48645709
Thailand;Asia Pacific;9;74,087;2,66;0,150002729;0,150002729;66,3499386;67164130
Togo;Sub Saharan Africa;138;58,601;1,13;0,428742394;0,428742394;39,63975809;6745581
Trinidad and Tobago;Americas;130;70,116;7,92;0,213840039;0,213840039;58,44325825;1341579
Tunisia;Middle East and North Africa;71;74,644;2,34;0,220079236;0,220079236;65,53990719;10777500
Turkey;Middle East and North Africa;68;74,72;3,33;0,186394065;0,186394065;66,16181571;74099255
Turkmenistan;Post-communist;134;65,298;5,47;0,311073773;0,311073773;48,32899106;5172941
Uganda;Sub Saharan Africa;112;57,14;1,24;0,413861815;0,413861815;36,75768703;35400620
Ukraine;Post-communist;70;70,317;2,84;0,167264184;0,167264184;64,19296359;45593300
United Kingdom;Europe;34;80,392;4,94;0,092973914;0,092973914;76,79000727;63700300
United States of America;Americas;108;78,807;8,22;0,129564256;0,129564256;73,97922534;314112078
Uruguay;Americas;14;76,891;2,91;0,17669975;0,17669975;69,57997631;3396753
Uzbekistan;Post-communist;51;68,171;2,32;0,298201671;0,298201671;51,58250281;29774500
Vanuatu;Asia Pacific;4;71,341;1,86262;0,223331845;0,223331845;60,3213286;247498
Venezuela;Americas;29;73,885;3,57;0,189279951;0,189279951;65,45373334;29854238
Vietnam;Asia Pacific;5;75,477;1,65;0,185920591;0,185920591;64,7942649;88809200
Yemen;Middle East and North Africa;94;63,34;1,03;0,387312703;0,387312703;44,7212188;24882792
Zambia;Sub Saharan Africa;77;58,409;0,99;0,408121659;0,408121659;38,67416328;14786581
Zimbabwe;Sub Saharan Africa;99;53,673;1,37;0,366084609;0,366084609;36,91400529;14565482
