# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FXX      = Hoogste windstoot (in 0.1 m/s);
#
# STN,YYYYMMDD,  FXX
#
  240,20100227,  170
  240,20100228,  200
  240,20100301,  160
  240,20100302,  100
  240,20100303,   80
  240,20100304,  100
  240,20100305,  140
  240,20100306,  160
  240,20100307,   90
  240,20100308,  100
  240,20100309,   70
  240,20100310,  130
  240,20100311,  120
  240,20100312,  100
  240,20100313,  130
  240,20100314,  140
  240,20100315,  140
  240,20100316,  100
  240,20100317,  110
  240,20100318,  110
  240,20100319,  200
  240,20100320,  170
  240,20100321,  120
  240,20100322,  110
  240,20100323,  110
  240,20100324,  100
  240,20100325,  160
  240,20100326,  110
  240,20100327,  100
  240,20100328,  130
  240,20100329,  110
  240,20100330,  160
  240,20100331,  210
  240,20100401,  180
  240,20100402,  150
  240,20100403,  120
  240,20100404,  110
  240,20100405,  110
  240,20100406,  120
  240,20100407,   70
  240,20100408,  100
  240,20100409,   90
  240,20100410,  120
  240,20100411,  130
  240,20100412,  140
  240,20100413,  110
  240,20100414,  120
  240,20100415,  110
  240,20100416,  100
  240,20100417,   60
  240,20100418,   90
  240,20100419,  100
  240,20100420,  150
  240,20100421,  130
  240,20100422,   90
  240,20100423,   80
  240,20100424,  100
  240,20100425,   90
  240,20100426,  110
  240,20100427,   80
  240,20100428,   80
  240,20100429,  100
  240,20100430,  130
  240,20100501,  110
  240,20100502,  130
  240,20100503,  150
  240,20100504,  110
  240,20100505,  100
  240,20100506,  130
  240,20100507,  100
  240,20100508,   50
  240,20100509,   90
  240,20100510,  100
  240,20100511,  140
  240,20100512,  100
  240,20100513,   60
  240,20100514,   90
  240,20100515,  100
  240,20100516,  100
  240,20100517,  100
  240,20100518,  100
  240,20100519,  110
  240,20100520,   80
  240,20100521,  100
  240,20100522,  110
  240,20100523,   70
  240,20100524,  100
  240,20100525,  100
  240,20100526,  110
  240,20100527,   80
  240,20100528,  120
  240,20100529,  120
  240,20100530,  210
  240,20100531,   90
  240,20100601,   80
  240,20100602,  110
  240,20100603,   90
  240,20100604,   80
  240,20100605,   70
  240,20100606,  100
  240,20100607,  120
  240,20100608,  160
  240,20100609,   70
  240,20100610,   80
  240,20100611,  130
  240,20100612,  120
  240,20100613,   70
  240,20100614,  120
  240,20100615,  120
  240,20100616,  140
  240,20100617,  120
  240,20100618,  110
  240,20100619,  140
  240,20100620,  120
  240,20100621,   90
  240,20100622,   70
  240,20100623,   80
  240,20100624,   90
  240,20100625,   80
  240,20100626,   60
  240,20100627,   80
  240,20100628,  100
  240,20100629,  110
  240,20100630,  100
  240,20100701,   80
  240,20100702,   90
  240,20100703,   80
  240,20100704,  130
  240,20100705,  110
  240,20100706,  100
  240,20100707,  110
  240,20100708,   80
  240,20100709,   90
  240,20100710,  200
  240,20100711,  100
  240,20100712,  180
  240,20100713,  110
  240,20100714,  120
  240,20100715,  170
  240,20100716,  140
  240,20100717,  130
  240,20100718,  100
  240,20100719,   80
  240,20100720,   90
  240,20100721,  120
  240,20100722,  100
  240,20100723,   90
  240,20100724,  100
  240,20100725,   90
  240,20100726,  120
  240,20100727,   80
  240,20100728,  100
  240,20100729,  120
  240,20100730,   80
  240,20100731,  110
  240,20100801,   80
  240,20100802,   80
  240,20100803,   80
  240,20100804,  120
  240,20100805,  100
  240,20100806,   90
  240,20100807,   80
  240,20100808,  100
  240,20100809,   80
  240,20100810,  140
  240,20100811,  100
  240,20100812,  100
  240,20100813,  100
  240,20100814,  100
  240,20100815,  150
  240,20100816,  110
  240,20100817,  140
  240,20100818,  150
  240,20100819,  120
  240,20100820,  110
  240,20100821,  120
  240,20100822,  110
  240,20100823,  200
  240,20100824,  210
  240,20100825,  110
  240,20100826,  130
  240,20100827,  130
  240,20100828,  130
  240,20100829,  210
  240,20100830,  230
  240,20100831,  100
  240,20100901,   60
  240,20100902,   60
  240,20100903,   80
  240,20100904,   70
  240,20100905,   90
  240,20100906,  150
  240,20100907,  130
  240,20100908,  100
  240,20100909,   80
  240,20100910,  120
  240,20100911,  120
  240,20100912,   90
  240,20100913,  130
  240,20100914,  190
  240,20100915,  180
  240,20100916,  140
  240,20100917,  140
  240,20100918,  110
  240,20100919,  160
  240,20100920,  150
  240,20100921,   50
  240,20100922,   70
  240,20100923,   60
  240,20100924,  130
  240,20100925,  150
  240,20100926,   70
  240,20100927,   60
  240,20100928,   90
  240,20100929,   80
  240,20100930,   80
  240,20101001,  140
  240,20101002,  120
  240,20101003,  140
  240,20101004,  110
  240,20101005,  110
  240,20101006,  120
  240,20101007,   90
  240,20101008,  100
  240,20101009,   80
  240,20101010,  110
  240,20101011,  110
  240,20101012,   90
  240,20101013,   50
  240,20101014,   60
  240,20101015,   70
  240,20101016,  160
  240,20101017,   80
  240,20101018,  120
  240,20101019,  140
  240,20101020,  220
  240,20101021,  170
  240,20101022,  120
  240,20101023,  160
  240,20101024,  150
  240,20101025,   90
  240,20101026,  150
  240,20101027,  130
  240,20101028,  130
  240,20101029,  120
  240,20101030,  100
  240,20101031,   90
  240,20101101,   60
  240,20101102,  170
  240,20101103,  180
  240,20101104,  210
  240,20101105,  230
  240,20101106,   90
  240,20101107,  100
  240,20101108,  130
  240,20101109,  110
  240,20101110,   80
  240,20101111,  220
  240,20101112,  250
  240,20101113,  100
  240,20101114,  200
  240,20101115,  100
  240,20101116,   40
  240,20101117,   90
  240,20101118,   50
  240,20101119,   60
  240,20101120,   70
  240,20101121,  130
  240,20101122,  120
  240,20101123,  100
  240,20101124,   90
  240,20101125,   80
  240,20101126,   70
  240,20101127,   70
  240,20101128,  110
  240,20101129,  120
  240,20101130,  170
  240,20101201,  190
  240,20101202,  110
  240,20101203,   90
  240,20101204,  140
  240,20101205,  130
  240,20101206,   50
  240,20101207,   70
  240,20101208,   90
  240,20101209,  150
  240,20101210,  120
  240,20101211,  150
  240,20101212,  170
  240,20101213,  130
  240,20101214,  110
  240,20101215,  110
  240,20101216,  160
  240,20101217,  150
  240,20101218,  100
  240,20101219,  130
  240,20101220,   50
  240,20101221,   60
  240,20101222,  130
  240,20101223,  180
  240,20101224,  160
  240,20101225,   90
  240,20101226,   70
  240,20101227,   90
  240,20101228,   70
  240,20101229,   60
  240,20101230,   40
  240,20101231,   50
  240,20110101,  100
  240,20110102,  100
  240,20110103,   60
  240,20110104,  120
  240,20110105,  120
  240,20110106,  100
  240,20110107,  100
  240,20110108,  220
  240,20110109,  130
  240,20110110,  110
  240,20110111,  140
  240,20110112,  110
  240,20110113,  170
  240,20110114,  210
  240,20110115,  170
  240,20110116,  130
  240,20110117,  170
  240,20110118,   80
  240,20110119,  100
  240,20110120,   90
  240,20110121,   70
  240,20110122,  110
  240,20110123,  110
  240,20110124,  110
  240,20110125,  140
  240,20110126,  100
  240,20110127,  110
  240,20110128,  100
  240,20110129,  130
  240,20110130,   90
  240,20110131,   60
  240,20110201,  100
  240,20110202,  130
  240,20110203,  170
  240,20110204,  240
  240,20110205,  240
  240,20110206,  240
  240,20110207,  210
  240,20110208,   90
  240,20110209,   80
  240,20110210,  100
  240,20110211,  100
  240,20110212,  120
  240,20110213,   90
  240,20110214,  100
  240,20110215,   90
  240,20110216,   80
  240,20110217,  110
  240,20110218,   90
  240,20110219,  110
  240,20110220,  110
  240,20110221,   90
  240,20110222,   80
  240,20110223,  120
  240,20110224,  100
  240,20110225,   90
  240,20110226,  150
  240,20110227,  200
  240,20110228,  110
  240,20110301,  130
  240,20110302,  140
  240,20110303,  120
  240,20110304,   90
  240,20110305,  100
  240,20110306,  100
  240,20110307,  100
  240,20110308,  110
  240,20110309,  160
  240,20110310,  210
  240,20110311,  130
  240,20110312,  100
  240,20110313,   90
  240,20110314,   80
  240,20110315,  110
  240,20110316,  140
  240,20110317,  100
  240,20110318,   80
  240,20110319,   80
  240,20110320,   70
  240,20110321,   70
  240,20110322,   70
  240,20110323,   70
  240,20110324,   70
  240,20110325,   70
  240,20110326,  100
  240,20110327,   70
  240,20110328,  100
  240,20110329,   60
  240,20110330,  120
  240,20110331,  180
  240,20110401,  160
  240,20110402,  130
  240,20110403,   70
  240,20110404,  120
  240,20110405,  170
  240,20110406,  110
  240,20110407,  120
  240,20110408,  100
  240,20110409,   80
  240,20110410,   70
  240,20110411,  170
  240,20110412,  140
  240,20110413,  100
  240,20110414,   60
  240,20110415,   80
  240,20110416,   80
  240,20110417,   60
  240,20110418,  100
  240,20110419,   80
  240,20110420,   90
  240,20110421,  100
  240,20110422,  110
  240,20110423,   90
  240,20110424,   90
  240,20110425,  100
  240,20110426,  120
  240,20110427,  120
  240,20110428,   90
  240,20110429,  150
  240,20110430,  150
  240,20110501,  160
  240,20110502,  170
  240,20110503,  130
  240,20110504,  100
  240,20110505,   80
